clean_text_PhoBERT,topic_label,pred_topic_label
nhiều kiến_thức bổ_ích .,Chương trình,Giảng viên
khi được đề_cập thì thầy cho đó là mục_tiêu cho các bạn tự tìm_hiểu nhằm phát_huy tốt nhất tư_duy_.,Chương trình,Giảng viên
"nội_dung môn_học , kiến_thức được truyền_đạt rất đầy_đủ .",Giảng viên,Chương trình
sự nhiệt_tình và tâm_huyết .,Khác,Giảng viên
"đề thực_hành khá hay , cô tạo được sự kết_nối giữa giảng_viên và sinh_viên .",Chương trình,Giảng viên
đề thi của thầy khá hay khi khai_thác thực_tiễn .,Cơ sở vật chất,Chương trình
sẽ có thông_báo đi học_cụ_thể trên phòng máy để sửa_chữa bài_tập cho những_ai chưa hiểu rõ cách làm .,Cơ sở vật chất,Chương trình
sinh_viên than_phiền nhiều sau 3 tuần thì mới có giảng_viên khác thay_thế .,Chương trình,Giảng viên
nên có thêm bài_tập giải trực_tiếp trên lớp .,Giảng viên,Chương trình
tạo được kiến_thức đầu đầy_đủ cho sinh_viên mới vào học bộ_môn này .,Giảng viên,Chương trình
hy_vọng môn nào cũng như môn này thì quá tốt .,Khác,Chương trình
lớp quá đông .,Khác,Chương trình
dạy rất chi_tiết .,Chương trình,Giảng viên
do khi ra trường các công_ty chủ_yếu đánh mạnh phần thực_hành và vận_dụng .,Khác,Chương trình
tạo được môi_trường thảo_luận sôi_nổi .,Chương trình,Giảng viên
"làm đa_số học_sinh chán , không hiểu bài nên không muốn đi học .",Chương trình,Giảng viên
tăng số_lượng kit thực_hành !,Chương trình,Cơ sở vật chất
chưa được chuyên_sâu về nội_dung lắm .,Chương trình,Giảng viên
chúng_em học được rất nhiều điều từ thực_tế thông_qua những câu truyện cô kể .,Chương trình,Giảng viên
cần cung_cấp tài_liệu nhiều hơn .,Chương trình,Giảng viên
"khi kiểm_tra trên lớp không thông_báo trước , sinh_viên chưa chuẩn_bị bài kỹ .",Chương trình,Giảng viên
"cần có phòng học chất_lượng hơn , yên_tĩnh để sinh_viên có_thể tiếp_thu tốt hơn .",Chương trình,Cơ sở vật chất
"nên đưa ra một_số bài_tập giải mẫu , nêu lên một_số lỗi thường gặp .",Giảng viên,Chương trình
sử_dụng thời_gian ở lớp hiệu_quả .,Cơ sở vật chất,Giảng viên
được đăng trên website môn_học .,Giảng viên,Chương trình
"cho nhiều bài_tập , cách hướng_dẫn , tài_liệu kỹ hơn .",Chương trình,Giảng viên
vấn_đề không_thể nắm_bắt được hết .,Chương trình,Khác
tổ_chức nhiều hoạt_động nhóm .,Chương trình,Giảng viên
không làm bài thuyết_trình nhưng vẫn được nộp báo_cáo .,Giảng viên,Chương trình
đây là một môn_học khó nhưng_mà chất_lượng slide bài giảng khá kém .,Giảng viên,Chương trình
tiếp_thu bài cũng ổn .,Khác,Giảng viên
"bài_tập thầy cho ít , giải cũng ít , không có bài_tập về nhà .",Giảng viên,Chương trình
được biết thêm nhiều kiến_thức khác ở bên ngoài giúp mở_rộng tầm_mắt .,Khác,Chương trình
lớp quá đông nên khó tiếp_thu .,Khác,Chương trình
"tiết học còn nhàm_chán , chưa tạo được hứng_thú .",Giảng viên,Chương trình
hay bị trục_trặc khi sử_dụng .,Cơ sở vật chất,Khác
bài giảng chưa sâu .,Giảng viên,Chương trình
có_thể làm demo trực_tiếp người ở dưới làm theo .,Giảng viên,Chương trình
rồi về nhà không hiểu gì hết .,Chương trình,Khác
nhiều ví_dụ minh_hoạ .,Giảng viên,Chương trình
nếu yêu_cầu bài_tập thì có_thể nộp giấy riêng cho cô .,Chương trình,Giảng viên
hoàn_toàn hài_lòng .,Giảng viên,Khác
trao_đổi nhóm .,Chương trình,Giảng viên
học_hỏi được nhiều kiến_thức .,Giảng viên,Khác
"cần phối_hợp các phương_pháp giảng_dạy khác , giảm số_lượng bài_tập .",Giảng viên,Chương trình
"slide bài giảng thì rất dễ hiểu nhưng sau khi thầy giảng thì chúng_em cảm_thấy không hiểu gì cả , cách truyền_đạt của thầy làm cho học_sinh rối_rắm , thầy chưa biết cách truyền_đạt những thứ mà học_sinh cần biết .",Chương trình,Giảng viên
xin thầy cho thêm slide về môn_học .,Chương trình,Giảng viên
"nhà_trường nên tuyển chon them những giảng_viên có trình_độ cao , phù_hợp với mức kiến_thức của môn_học .",Giảng viên,Chương trình
giáo_trình mới .,Khác,Chương trình
"các phần_mềm sử_dụng phiên_bản quá cũ , nên update để phù_hợp với chương_trình đào_tạo và thực_hành của sinh_viên ở nhà .",Cơ sở vật chất,Chương trình
phần này khó nên giảng nhiều hơn .,Giảng viên,Chương trình
"không nêu rõ thời_gian học lý_thuyết , thời_gian bắt_đầu tiết học lý_thuyết bị thay_đổi mà không báo trước , làm ảnh_hưởng đến nhiều sinh_viên , nhất_là các bạn ở xa .",Giảng viên,Chương trình
học không hiểu .,Khác,Giảng viên
"thuyết_trình còn hơi buồn_ngủ , chưa hấp dẩn lắm .",Chương trình,Giảng viên
cần cho sinh_viên biết mình cần phải học về cái gì .,Giảng viên,Chương trình
cực_kỳ tận_tâm .,Khác,Giảng viên
chưa nắm chắc căn_bản đã phải làm_quen với nâng cao .,Giảng viên,Chương trình
đồ_án hay .,Khác,Chương trình
học vậy đâu phải là học .,Khác,Chương trình
cách diễn_đạt của giảng_viên chưa hiệu_quả .,Chương trình,Giảng viên
học với tma không phù_hợp với nội_dung môn_học .,Giảng viên,Chương trình
tâm_lý_học_sinh !,Giảng viên,Khác
dạy tương_đối đầy_đủ chương_trình .,Chương trình,Giảng viên
đồ_án quá khó với sinh_viên năm 3 chưa đủ kiến_thức .,Giảng viên,Chương trình
buổi học chỉ dạy một_nửa thời_gian .,Giảng viên,Chương trình
mặc_dù đánh good nhưng vì em yếu anh văn nên em không hiểu gì về lý_thuyết cả .,Khác,Giảng viên
với_lại đặc_thù sinh_viên trường em nó khác cô ạ .,Khác,Giảng viên
thuyết_trình trước lớp bằng tiếng anh theo chủ_đề .,Chương trình,Giảng viên
thảo_luận được nhiều vấn_đề .,Khác,Giảng viên
"kiến_thức nói thì lung_tung , lan_man , dàn_trải .",Giảng viên,Chương trình
"nhà_trường biết đấy , khi mình học mà không biết mình học gì , khi mình làm mà không biết mình làm gì thì cũng giống như người mù đi giữa bóng đêm vậy .",Chương trình,Khác
em chỉ đăng_ký học để chuyển điểm nên em không biết .,Chương trình,Khác
"cung_cấp nhiều kiến_thức mới , bổ_ích .",Chương trình,Giảng viên
quản_lý các giờ làm bài_tập tốt hơn để tránh việc lãng_phí thời_gian trong tiết học .,Chương trình,Giảng viên
"em không định_hướng được mình sẽ học gì , khi học thì em không biết ứng_dụng vào thực_tế ra sao .",Khác,Chương trình
thiếu hướng_dẫn chi_tiết .,Chương trình,Giảng viên
có nhiều phương_pháp giảng_dạy hay và nhiều cách giúp sinh_viên hoàn_thành bài tốt .,Chương trình,Giảng viên
cung_cấp thêm tài_liệu môn_học .,Chương trình,Giảng viên
nối dung trong slide còn hạn_chế .,Chương trình,Giảng viên
"còn nói_chuyện lan_man , lạc_đề dẫn đến tốn thời_gian .",Chương trình,Giảng viên
"nội_dung truyền_tải chưa sâu , có phần_lớn thời_gian trên lớp giảng_viên chỉ chạy demo .",Chương trình,Giảng viên
sinh_viên khó tiếp_thu kiến_thức .,Khác,Chương trình
"cần có các buổi thực_hành trên phòng lab để sinh_viên tiếp_cận thực_tế với các thiết_bị mạng , áp_dụng kiến_thức về lý_thuyết đã học để thực_hành .",Giảng viên,Chương trình
các yêu_cầu của môn cần ghi rõ .,Khác,Chương trình
"một phần do hoàn_toàn là tiếng anh , và tụi em vẫn chưa thích_nghi kịp .",Chương trình,Khác
"nội_dung bài_học đều sát với thực_tế , lý_thuyết dễ hiểu .",Giảng viên,Chương trình
thà em ở nhà tự học còn tốt hơn là đi nghe đọc slide .,Giảng viên,Chương trình
cho thêm bài_tập và ví_dụ hiểu rõ cách cài_đặt thuật_toán .,Giảng viên,Chương trình
tổ_chức tham_quan doanh_nghiệp .,Chương trình,Giảng viên
đọc slide từ đầu tới cuối .,Chương trình,Giảng viên
nên cho sinh_viên những đề thi thử môn tiếng anh sao cho gần tương_tự trong đề thi thật để kết_quả học_tập nâng cao .,Giảng viên,Chương trình
hậu_quả họ phải chép lẫn nhau .,Giảng viên,Khác
"cho sinh_viên nói với bạn , giao_tiếp tất_cả trong lớp bằng tiếng anh .",Chương trình,Giảng viên
lớp_học ồn .,Khác,Cơ sở vật chất
lúc đầu có thống_nhất không làm đồ_án nhưng cuối_cùng lại bắt sinh_viên làm đồ_án làm sinh_viên bất_ngờ !,Giảng viên,Chương trình
"phân_bố lại chương_trình học , cụ_thể là thầy fraction cô nên xem_xét lại phần sort các loại sort khó nhất đặt cuối_cùng , rất khó để học cùng lúc và trễ phần code rất khó để hiểu nên nên được học sớm .",Chương trình,Giảng viên
"thời_gian lên_lớp đảm_bảo , bám sát yêu_cầu của bài_học .",Chương trình,Giảng viên
làm bài_tập dễ hiểu .,Giảng viên,Chương trình
slide bài giảng đầy_đủ rõ_ràng giáo_viên đúng giờ .,Giảng viên,Chương trình
điểm_danh vấn_đề đi học thông_qua việc lên sửa bài_tập hơi gắt chút .,Chương trình,Giảng viên
rất thu_hút .,Giảng viên,Khác
kỹ_lưỡng .,Khác,Giảng viên
"em không biết là do giảng_viên hay do bộ_môn phân_bổ cách dạy như_vậy nhưng em hi_vọng chất_lượng sẽ ngày được cải_thiện , chúng_em là sinh_viên học để sau_này đi làm chứ không phải học để qua môn , và tiếng anh lại rất cần_thiết co ngành_nghề của chúng_em .",Chương trình,Giảng viên
nên upload nội_dung học sau mỗi bữa vào module để sinh_viên không đi học bữa đó nắm được mình sẽ cần chuẩn_bị những gì vào buổi sau .,Giảng viên,Chương trình
có nhiều giờ chữa và giải bài_tập hơn_nữa .,Chương trình,Giảng viên
không được đánh mạnh .,Khác,Giảng viên
có phần thầy nói hơi nhanh .,Chương trình,Giảng viên
làm đồ_án phải báo_cáo mỗi 2 tuần .,Giảng viên,Chương trình
luyện_tập tốt .,Chương trình,Khác
sau mỗi định_lý nên có ví_dụ và chữa chi_tiết ngay .,Giảng viên,Chương trình
có nhiều hình_thức giảng_dạy mới giúp sinh_viên tiếp_thu kiến_thức dễ_dàng .,Chương trình,Giảng viên
vì thời_gian trong lớp tập_trung hơn .,Khác,Chương trình
"bám quá nhiều vào giáo_trình , cần giảng nhiều hơn các ví_dụ như_vậy sinh_viên mới dễ ứng_dụng .",Giảng viên,Chương trình
còn thiếu bài giảng trên moodle .,Khác,Giảng viên
sinh_viên dễ cảm_thấy chán và ớn .,Chương trình,Khác
"slide bài giảng còn khá nhiều chỗ sai_sót , chưa thống_nhất , rất mong giảng_viên chỉnh_sửa lại .",Giảng viên,Chương trình
lớp có 2 giảng_viên hướng_dẫn là cô wzjwz90 và thầy wzjwz91 .,Khác,Giảng viên
"kiến_thức thu được là con_số 0 , ngao_ngán với bài_tập cách giảng_dạy của giảng_viên .",Giảng viên,Chương trình
"nói thuyết_trình , nhưng thực_ra các bạn chỉ lên đọc slide thôi , và kết_quả , ai ở nhóm nào chỉ hiểu được nội_dung của nhóm mình trình_bày mà thôi .",Chương trình,Giảng viên
"quá nhiều lý_thuyết , ít giải bài_tập .",Giảng viên,Chương trình
"em không học thầy này mà sao lại có khảo_sát , em không rõ cho lắm .",Khác,Giảng viên
"trong lúc giải bài_tập cho đến khi giải xong bài_tập , sinh_viên không thế hiểu được tại_sao ra được kết_quả và cũng không biết kết_quả nào là chính_xác để ghi_nhận .",Giảng viên,Chương trình
bài giảng hấp_dẫn .,Giảng viên,Chương trình
điều đó làm tăng áp_lực cho sinh_viên .,Khác,Chương trình
cố_chấp .,Khác,Giảng viên
sau mỗi buổi thuyết_trình nên chốt lại vấn_đề đã học được những gì .,Giảng viên,Chương trình
"xét điểm quá_trình và giữa kỳ thì lại không công_bằng , chủ cần đứng lên hỏi là có ngay điểm cộng , nhắc_nhở cái sai của thầy là có điểm .",Giảng viên,Chương trình
thao_tác giáo_án điện_tử và các phần_mềm hỗ_trợ nhiều hơn .,Khác,Giảng viên
"giáo_trình giảng_dạy còn cứng_nhắc , không linh_hoạt với đời_sống thực_tế , xã_hội .",Giảng viên,Chương trình
"cung_cấp đầy_đủ tài_liệu và giáo_trình môn_học , nhiệt_tình , tận_tâm với sinh_viên .",Khác,Giảng viên
làm bài_tập nhóm hiệu_quả .,Giảng viên,Chương trình
bài_học_sinh_động và tạo cơ_hội cho học_viên năng_động và giao_tiếp nhiều .,Giảng viên,Chương trình
chỉ cần cho bài_tập qua web môn_học_sinh_viên sẽ làm .,Chương trình,Giảng viên
số_lượng sinh_viên trên một lớp cần ít hơn .,Khác,Chương trình
chỉ học cho_qua chứ không thu_lượm được điều gì mới .,Khác,Chương trình
học được nhiều kỹ_năng mới và hay .,Khác,Chương trình
tạo động_lực cho học_sinh học_tập .,Chương trình,Giảng viên
"yêu_cầu sinh_viên tự học , tự chuẩn_bị .",Chương trình,Giảng viên
khiến sinh_viên mơ_hồ về môn này .,Khác,Chương trình
em thật_sự không thích chấm bài bằng máy vì máy luôn có nhưng hạn_chế nhất_định .,Chương trình,Cơ sở vật chất
"rất tốt , bám sát môn_học .",Khác,Giảng viên
chỉ cần cho bài_tập rồi làm nộp .,Chương trình,Giảng viên
tính kỷ_luật cao .,Khác,Giảng viên
giải_đáp thắc_mắc về bài_tập cho sinh_viên qua email nhiệt_tình và nhanh_chóng .,Chương trình,Giảng viên
có nhiều kiến_thức hay ngoài đề_cương .,Giảng viên,Chương trình
cách tính điểm chi_tiết .,Giảng viên,Chương trình
thông_báo nghỉ hơi chậm .,Chương trình,Giảng viên
hy_vọng học_kỳ tiếp_theo được học môn cấu_trúc rời_rạc của thầy .,Khác,Giảng viên
cảm_thấy bình_thường .,Giảng viên,Khác
đó là điều mà em ngưỡng_mộ nhất .,Giảng viên,Khác
hài_lòng .,Giảng viên,Khác
nhiều vấn_đề nói chưa rõ .,Giảng viên,Khác
"cô thường_xuyên bổ_trợ kiến_thức cho sinh_viên về các kỹ_năng nghe , nói đọc viết .",Chương trình,Giảng viên
làm nhiều bài_tập hơn .,Giảng viên,Chương trình
"sinh_viên không học được gì từ giảng_viên , sinh_viên phải tự tìm_tòi .",Giảng viên,Chương trình
nhiều lúc bài_tập chưa hiểu rõ .,Giảng viên,Chương trình
"cần , kiệm , liêm , chính .",Khác,Giảng viên
kiến_thức chuyên_môn và nội_dung dạy .,Chương trình,Giảng viên
"em chỉ dám thỉnh_cầu quý thầy_cô soạn ra một bộ tài_liệu mà có_thể giúp sinh_viên tự nghiên_cứu , học_tập môn này hiệu_quả hơn .",Giảng viên,Chương trình
cho bài_tập từ dễ tới khó .,Chương trình,Giảng viên
cho bài_tập hợp_lý giúp tiếp_cận kiến_thức theo nhiều hướng .,Chương trình,Giảng viên
làm bài_tập khá nhiều .,Giảng viên,Chương trình
không có sự hứng_thú khi lên_lớp .,Khác,Giảng viên
quá khó thể tiếp_thu .,Giảng viên,Chương trình
khó hiểu .,Chương trình,Khác
"nếu được vậy thì sinh_viên có_thể hỏi trực_tiếp giảng_viên thực_hành chứ em thấy mấy cái phòng máy chỉ mở_cửa khi có giờ thực_hành , rồi sinh_viên phải vào chờ giảng_viên .",Giảng viên,Cơ sở vật chất
năng_động .,Khác,Giảng viên
kiến_thức tổng_hợp .,Khác,Chương trình
khả_năng tư_duy được nâng cao .,Khác,Chương trình
odoo quá khó .,Chương trình,Giảng viên
chú_thích những phần cần phải tập_trung .,Khác,Chương trình
các hoạt_động chưa đại_học công_nghiệp việt_trì .,Chương trình,Giảng viên
không biết gì sau khi học môn này .,Chương trình,Khác
tập_trung thực_hành kiến_thức trọng_tâm của giờ ký thuyết .,Giảng viên,Chương trình
gần_gũi .,Giảng viên,Khác
wzjwz217 là thầy nào ?,Khác,Giảng viên
"cần có một phương_pháp giảng khác , chúng_em là sinh_viên chứ không phải là những người đi làm .",Chương trình,Giảng viên
toàn ngồi nói_chuyện chả có thực_hành gì .,Giảng viên,Chương trình
thực_tiễn tốt .,Chương trình,Khác
có nhiều kinh_nghiệm cũng như trải_nghiệm tốt qua môn_học này .,Giảng viên,Khác
"đồ_án quá rộng , liên_quan đến các nghiệp_vụ phức_tạp , không hiểu rõ và cũng không có chỉ_dẫn cụ_thể , dữ_liệu test .",Giảng viên,Chương trình
đi trễ .,Giảng viên,Khác
"những ví_dụ thực_tiễn của giáo_viên còn ít , môn_học lý_thuyết nhiều .",Chương trình,Giảng viên
tạo cho sinh_viên khả_năng suy_luận trong môn_học .,Chương trình,Giảng viên
bài thực_hành nên mang tính_chất bắt_buộc hoặc khuyến_khích sinh_viên làm để lấy điểm cộng để tạo động_lực cũng như hứng_thú với bài thực_hành hơn .,Khác,Chương trình
chỉ toàn đọc slide lý_thuyết chứ không thật_sự giảng_dạy và không dạy phần bài_tập cho sinh_viên .,Chương trình,Giảng viên
phần lý_thuyết trên lớp mức_độ kiến_thức quá chênh_lệch với đề thi .,Giảng viên,Chương trình
chương_trình dễ hiểu .,Giảng viên,Chương trình
nhiều ví_dụ .,Giảng viên,Khác
"thưa , em hoàn_toàn hài_lòng với chất_lượng các buổi học của thầy và những kiến_thức thầy mang lại thực_sự bổ_ích và phong_phú .",Chương trình,Giảng viên
"cả 3 , 4 buổi thực_hành theo hình_thức 2 môn này có thầy thầy này tham_gia hay hường dẫn buổi nào đâu mà đánh_giá , chỉ có mỗi thầy wzjwz100 thôi .",Khác,Giảng viên
đi_sâu vào vấn_đề khó hơn .,Khác,Giảng viên
chi_tiết .,Chương trình,Khác
phần ý_kiến của em trong phần khảo_sát thầy wzjwz7 em nói có liên_quan đến thầy luôn .,Khác,Giảng viên
nên đăng lên điểm thực_hành hằng tuần để sinh_viên tiện theo_dõi .,Giảng viên,Chương trình
nên sử_dụng tiếng việt vì đa_phần không giỏi tiếng anh .,Giảng viên,Chương trình
mỗi dạng bài thì thầy ghi ra 3 câu bài_tập là ổn rồi .,Chương trình,Giảng viên
tỉ_mỉ .,Khác,Giảng viên
chỉ hướng_dẫn sử_dụng access không hướng_dẫn sử_dụng database sql .,Chương trình,Giảng viên
nhiều chỗ đọc mãi vẫn không_thể hiểu .,Giảng viên,Khác
"trong khi đó sinh_viên phải làm đồ_án môn_học , mọi vấn_đề gặp phải nếu chờ 3 tuần để được gặp giảng_viên giải_đáp thì sinh_viên không_thể hoàn_thành đúng tiến_độ .",Giảng viên,Chương trình
trao_đổi trên hệ_thống website môn_học .,Chương trình,Giảng viên
không có nội_dung thực_hành của môn_học này .,Giảng viên,Chương trình
lớp bóng_chuyền nhưng lại bị bắt tập_thể_lực khá nhiều .,Giảng viên,Chương trình
chép bài nhiều .,Khác,Giảng viên
"bài giảng chưa sinh_động , thường gây chán cho sinh_viên , sinh_viên không tiếp_thu được nhiều về kiến_thức thầy nói .",Giảng viên,Chương trình
khá nhiệt_tình .,Khác,Giảng viên
kiến_thức hay và sự tận_tâm của giảng_viên .,Chương trình,Giảng viên
quá kém .,Giảng viên,Khác
bơi rất đại_học công_nghiệp việt_trì .,Khác,Giảng viên
"ít gì thì mình là người trẻ , năng_động xíu đi , chứ đừng ngồi chỗ .",Giảng viên,Khác
thay_vì đưa bài ra rồi bảo các bạn nộp kết_quả .,Chương trình,Giảng viên
cung_cấp cho sinh_viên những kiến_thức tổng_quát về môn_học .,Chương trình,Giảng viên
hầu_hết sinh_viên đều ngủ_gật trong lớp .,Khác,Giảng viên
chắc kiến_thức cho sinh_viên nếu mất nền_tảng .,Giảng viên,Chương trình
rèn_luyện nhiều khả_năng nói tiếng anh cho sinh_viên .,Chương trình,Giảng viên
đôi_lúc hơi sợ .,Khác,Giảng viên
khó nghe trong việc giao_tiếp ngôn_ngữ .,Giảng viên,Khác
cập_nhật cái mới cho sinh_viên .,Giảng viên,Chương trình
còn điều không thích nhất vẫn giống cái kia thôi .,Chương trình,Khác
học để làm_gì !,Khác,Chương trình
ít kiểm_tra trên lớp .,Giảng viên,Chương trình
dạy kỹ các phần quan_trọng .,Chương trình,Giảng viên
các thành_viên khác chịu_thua .,Giảng viên,Khác
cho bài_tập làm nhiều hơn điểm_danh lấy điểm 5 - 10 % cho bài kiểm_tra trên lớp nhiều hơn .,Chương trình,Giảng viên
"em nghĩ thầy nên bổ_sung hình_vẽ vào slide bài giảng , hoặc ít_nhất trong lúc giảng thầy rời ghế và vẽ lên bảng cho sinh_viên dễ hình_dung .",Chương trình,Giảng viên
"cho làm các bài kiểm_tra cuối giờ , giúp chúng_em phải tập_trung nghe bài .",Chương trình,Giảng viên
"sửa bài_tập khó , giảng_viên nhiệt_tình .",Khác,Giảng viên
