clean_text_PhoBERT,sentiment_label,pred_sentiment_label
"cô quá chất , đi dạy chỉ cần cái điện_thoại .",Tích cực,Tiêu cực
cô hơi hiền .,Tích cực,Tiêu cực
sẽ có thông_báo đi học_cụ_thể trên phòng máy để sửa_chữa bài_tập cho những_ai chưa hiểu rõ cách làm .,Tích cực,Tiêu cực
"phòng máy cũ , nhưng nhìn_chung thì không có ảnh_hưởng gì vì thầy dạy rất nhiệt_tình .",Trung tính,Tích cực
"giảng_viên ít dạy từ mới , cấu_trúc ngữ_pháp vdotv .",Tích cực,Tiêu cực
"nếu có môn_học nào trong học_kỳ tiếp_theo mà thầy giảng_dạy được , mong phòng đào_tạo điều_kiện cho thầy tiếp_tục hướng_dẫn lần sau .",Tích cực,Tiêu cực
nói dễ nghe .,Trung tính,Tích cực
cầu_kỳ .,Trung tính,Tiêu cực
hy_vọng môn nào cũng như môn này thì quá tốt .,Tích cực,Tiêu cực
do khi ra trường các công_ty chủ_yếu đánh mạnh phần thực_hành và vận_dụng .,Trung tính,Tiêu cực
giáo_viên truyền_đạt kinh_nghiệm thực_tế nhiều .,Trung tính,Tích cực
vì giữa kỳ do em bỏ lở .,Trung tính,Tiêu cực
giảng_viên ôn_tập tập_trung nhiều vào một chủ_đề mà qua nhiều chủ_đề khác .,Tiêu cực,Tích cực
giảng_dạy theo phương_pháp hoạt_động nhóm .,Trung tính,Tích cực
giảng_viên chưa đi_sâu vào vấn_đề bài_học .,Tích cực,Tiêu cực
sự tận_tình .,Trung tính,Tích cực
không làm bài thuyết_trình nhưng vẫn được nộp báo_cáo .,Trung tính,Tiêu cực
thầy dạy đủ nội_dung bài_học .,Trung tính,Tích cực
có_thể nhiều bạn thích nhưng bản_thân mình thấy thầy nói một vấn_đề hơi dài_dòng .,Trung tính,Tiêu cực
tiếp_thu bài cũng ổn .,Trung tính,Tích cực
he fixes our tasks thoroughly .,Tích cực,Tiêu cực
lên_lớp đều .,Trung tính,Tích cực
có_thể làm demo trực_tiếp người ở dưới làm theo .,Tiêu cực,Trung tính
"đối_với cô wzjwz32 , cô rất tận_tình , giải_đáp thắc_mắc và hướng đến sinh_viên cùng trao_đổi đối_với y , hoàn_toàn tách_biệt với sinh_viên , không có hướng trao_đổi mà là hướng tra_khảo kiến_thức sinh_viên .",Trung tính,Tích cực
nếu yêu_cầu bài_tập thì có_thể nộp giấy riêng cho cô .,Trung tính,Tiêu cực
cô cho bài_tập về nhà và có hình_thức ghi tên chép phạt nếu không làm .,Tiêu cực,Tích cực
lớp buồn không có ý_kiến nhiều .,Tiêu cực,Trung tính
giáo_trình mới .,Trung tính,Tiêu cực
"mới đầu_tiên em nghĩ thầy khó_tính gây áp_lực cho em , thầy cho làm deadline quá_trời mà những lớp khác không có , nhưng đến bây_giờ em mới hiểu nhờ thầy em biết được nhiều dạng bài_tập hơn , thầy thích_hợp dạy môn kiến_trúc máy_tính , nhưng_mà thầy dạy phần_cứng hay hơn ấy ạ .",Tích cực,Tiêu cực
thầy nên cho nhiều ví_dụ hơn .,Tích cực,Tiêu cực
còn nghỉ giữa buổi khá nhiều và làm tốn thời_gian vô_ích .,Tích cực,Tiêu cực
"thầy dạy hay , truyền_đạt tốt , mong phòng công_tác sinh_viên liên_hệ thầy để có phương_pháp chiến_lược dạy số kiến_thức đó nhưng với thời_gian ít hơn , chứ nếu một bài dạy trong một năm thì sinh_viên thế_nào chẳng giỏi .",Tích cực,Tiêu cực
"nói hơi nhanh , cho bài_tập thêm hơi khó .",Tích cực,Tiêu cực
slide bài giảng chưa được đưa lên .,Tích cực,Tiêu cực
dạy tương_đối đầy_đủ chương_trình .,Trung tính,Tích cực
làm được nhiều bài_tập .,Trung tính,Tích cực
thầy dạy ổn ạ .,Trung tính,Tích cực
quá nhiều kiến_thức cần nắm nhưng thời_gian có_hạn .,Trung tính,Tiêu cực
thầy dạy khá ổn .,Trung tính,Tích cực
thêm nhiều bài_tập hay .,Trung tính,Tiêu cực
thuyết_trình trước lớp bằng tiếng anh theo chủ_đề .,Tích cực,Trung tính
không song_song với kiến_thức được học ở lớp lý_thuyết .,Tích cực,Tiêu cực
thường_xuyên đăng slide bài giảng lên hệ_thống moodle .,Tích cực,Tiêu cực
luôn dạy đúng và đủ số tiết .,Trung tính,Tích cực
thầy không up slide bài giảng lên website môn_học .,Tích cực,Tiêu cực
thầy dạy tạm ổn .,Trung tính,Tiêu cực
không có điều gì không hài_lòng .,Tích cực,Trung tính
cho các nhóm lên trình_bày để tránh việc các bạn copy bài trên mạng và không hiểu bài .,Tích cực,Tiêu cực
em chỉ đăng_ký học để chuyển điểm nên em không biết .,Trung tính,Tiêu cực
môn này em học tệ nên không có ý_kiến .,Tiêu cực,Trung tính
"nghiêm_khắc trong khi dạy , kiến_thức chuyên_ngành cao .",Tiêu cực,Tích cực
"thầy dạy có tâm , nhiệt_tình nhưng_mà nói hơi nhanh chút_xíu .",Trung tính,Tích cực
giáo_viên tạo nhiều cơ_hội cho sinh_viên được luyện nói tiếng anh trên lớp .,Trung tính,Tích cực
thực_hành có nhiều bài_tập về thực_tế càng tốt !,Tích cực,Tiêu cực
đọc slide từ đầu tới cuối .,Tiêu cực,Trung tính
mong thầy giảng_dạy ở những môn tiếp_theo .,Tích cực,Tiêu cực
omg .,Tiêu cực,Trung tính
"có mở_rộng nội_dung giới_thiệu về một_số nền tẳng mới như doubledot blackbery , tizen nền_tảng đa ứng_dụng doubledot phonegap , titanium , zun .",Tích cực,Tiêu cực
"cho sinh_viên nói với bạn , giao_tiếp tất_cả trong lớp bằng tiếng anh .",Trung tính,Tích cực
nhiều seminar .,Tiêu cực,Trung tính
"hình_dung chưa , câu mà thầy hay hỏi nhất .",Tiêu cực,Trung tính
được trải_nghiệm thực_tế sẽ giúp cho môn_học thêm phần thú_vị và sự thú_vị đó sẽ tạp động_lực cho sinh_viên tự tìm_hiểu sau_này .,Tiêu cực,Tích cực
tương_tác với sinh_viên .,Trung tính,Tích cực
giữ nguyên_hình thức cũ !,Trung tính,Tiêu cực
có nhiều thời_gian hơn để gặp giáo_viên và thực_hành trên lớp .,Trung tính,Tiêu cực
nên nhiều vấn_đề thầy giảng còn hơi mông_lung khó hiểu .,Tích cực,Tiêu cực
làm đồ_án phải báo_cáo mỗi 2 tuần .,Tích cực,Tiêu cực
được nói cặp .,Tích cực,Tiêu cực
nói_chung là không có vấn_đề tiêu_cực với phương_pháp của cô .,Trung tính,Tích cực
ví_dụ của thầy cũng chưa rõ_ràng .,Tích cực,Tiêu cực
cứ lo tụi em không hiểu mà dạy đi dạy lại tới khi hiểu rõ vấn_đề mới qua phần mới .,Tích cực,Tiêu cực
vì thầy không đến lớp giảng_dạy bữa nào cả nên em không biết nhận_xét .,Trung tính,Tiêu cực
"em được biết đây là kỳ dạy cuối_cùng của thầy nên em chúc thầy sức_khoẻ dồi_dào , gia_đình hạnh_phúc .",Trung tính,Tích cực
cho sinh_viên những bài_tập cơ_bản để tìm_hiểu về bài giảng lý_thuyết .,Trung tính,Tích cực
mặc_dù có kiến_thức tốt !,Trung tính,Tiêu cực
giúp sinh_viên tiếp_thu kiến_thức nhưng không làm nhàm_chán .,Tiêu cực,Tích cực
"bài_tập thầy cho cũng đòi_hỏi phải đến lớp , nghe giảng và phải hiểu thật_sự mới làm được .",Trung tính,Tiêu cực
chỉ cần khoảng 60 % gần tương_ứng với nội_dung thi là đủ .,Trung tính,Tiêu cực
cái này vấn_đề chung của cả nước mất rồi colonhihi .,Trung tính,Tiêu cực
có lời cho công_việc sau_này của mình không .,Tiêu cực,Trung tính
cách tính điểm chi_tiết .,Tiêu cực,Tích cực
"đại_học công_nghiệp việt_trì tính , tận_tình chỉ dạy , nhưng nhiều nội_dung giảng chưa kỹ và khó hiểu .",Tích cực,Tiêu cực
đó là điều mà em ngưỡng_mộ nhất .,Trung tính,Tích cực
em đóng_góp cũng chỉ mong để sau_này các lớp xử_lý ngôn_ngữ_tự_nhiên đông hơn và nhiều sinh_viên chọn hơn .,Tích cực,Tiêu cực
cám_ơn thầy wzjwz296 .,Trung tính,Tích cực
thầy dạy ổn .,Trung tính,Tích cực
"giảng_viên thực_hành nhiều bài thực_hành trực_quan , giảng dễ hiểu .",Tiêu cực,Tích cực
thầy dạy rất đại_học công_nghiệp việt_trì nhưng đôi_khi còn rất khó_tính .,Trung tính,Tích cực
cho bài_tập từ dễ tới khó .,Trung tính,Tiêu cực
tuy_nhiên thầy ít đùa .,Trung tính,Tiêu cực
lắng_nghe cách giải_quyết vấn_đề của sinh_viên .,Trung tính,Tích cực
nên cho thực_hành nhiều hơn .,Tích cực,Tiêu cực
"bài_tập thầy cho quá khó , nhưng không sao đề ra như_vậy mới nâng cao trình_độ của tụi em .",Tích cực,Tiêu cực
kiến_thức tổng_hợp .,Trung tính,Tích cực
chú_thích những phần cần phải tập_trung .,Trung tính,Tiêu cực
cô cho làm đồ_án nhóm với_lại cho bài_tập theo từng tuần nên sinh_viên có thời_gian sắp_xếp để làm bài .,Trung tính,Tích cực
tập_trung thực_hành kiến_thức trọng_tâm của giờ ký thuyết .,Trung tính,Tích cực
"dạy liên_hệ thực_tế , giảng dễ hiểu .",Tiêu cực,Tích cực
wzjwz217 là thầy nào ?,Tiêu cực,Trung tính
môn công_nghệ web và ứng_dụng có 2 tín_chỉ lý_thuyết .,Trung tính,Tiêu cực
bài thực_hành nên mang tính_chất bắt_buộc hoặc khuyến_khích sinh_viên làm để lấy điểm cộng để tạo động_lực cũng như hứng_thú với bài thực_hành hơn .,Tích cực,Tiêu cực
nhiều ví_dụ .,Trung tính,Tích cực
"thầy giảng nhiệt_tình , sát trọng_tâm , dễ hiểu , mong thầy kỳ sau sẽ dạy môn xác xuất thống_kê .",Trung tính,Tích cực
đi_sâu vào vấn_đề khó hơn .,Tích cực,Tiêu cực
chi_tiết .,Trung tính,Tích cực
đồng_nhất một giáo_trình giảng_dạy .,Tiêu cực,Trung tính
"một_số chỗ khó hiểu , nhưng nếu chăm_chỉ tự học thì sẽ khắc_phục được .",Trung tính,Tiêu cực
"bài_tập thầy đưa ra cho lớp hơi khó , nhưng quá đó giúp chúng_em rèn_luyện tư_duy thuật_toán .",Tiêu cực,Tích cực
trao_đổi trên hệ_thống website môn_học .,Tích cực,Trung tính
cám_ơn thầy đã giúp_đỡ em .,Trung tính,Tích cực
chăm_chú bài_tập .,Trung tính,Tích cực
giảng_dạy thực_tế .,Trung tính,Tích cực
cần có giáo_trình chi_tiết về môn_học cho sinh_viên dễ nắm_bắt .,Tích cực,Tiêu cực
"dạy dễ hiểu , không bị rối .",Tiêu cực,Tích cực
giảng_viên chia thành nhiều nhóm để sinh_viên thảo_luận có hiệu_quả .,Tiêu cực,Tích cực
"cho thảo_luận , làm seminar .",Tích cực,Trung tính
thay_vì đưa bài ra rồi bảo các bạn nộp kết_quả .,Trung tính,Tiêu cực
nghỉ sinh em bé đại_học công_nghiệp việt_trì vẻ nha cô .,Trung tính,Tích cực
mọi thứ đều ổn .,Trung tính,Tích cực
thương xuyên chỉ_dẫn trên moodle .,Tích cực,Trung tính
cập_nhật cái mới cho sinh_viên .,Tích cực,Tiêu cực
còn điều không thích nhất vẫn giống cái kia thôi .,Tiêu cực,Trung tính
dạy kỹ các phần quan_trọng .,Trung tính,Tích cực
cô dạy rất tận_tình và gần_gũi nhưng tại tụi em lười quá .,Tích cực,Tiêu cực
có lúc em còn cảm_thấy có lỗi vì công_sức của cô trên lớp như_vậy mà mình lại làm_biếng học bài .,Trung tính,Tiêu cực
hy_vọng không gặp lại thầy ở kỳ sau colonsmile .,Tiêu cực,Trung tính
"những bạn không chịu học và lơ_là từ trước giờ vẫn qua hai môn của thầy một_cách dễ_dàng và thậm_chí còn đạt được điểm_cao , do đề cơ_bản và còn được sử_dụng tài_liệu , laptop .",Tiêu cực,Tích cực
dựa vào một game cơ_bản để sinh_viên hiểu rõ hơn .,Trung tính,Tích cực
"có hoạt_động trò_chơi , hát tiếng anh .",Trung tính,Tích cực
định_hướng_từ sớm về cách tiếp_cận đồ_án đối_với sinh_viên .,Tiêu cực,Tích cực
đó là một động_lực rất lớn để tụi em hoàn_thành hết tất_cả bài_tập của thầy .,Trung tính,Tích cực
cách dạy của thầy rất có vấn_đề .,Tích cực,Tiêu cực
"dạ , cho em hỏi là trường mình là tạo sao không dùng ngôn_ngữ chị thay cho assembly .",Trung tính,Tiêu cực
"ngoài thời_gian cố_định như trong thời_khoá_biểu của nhà_trường , em đều cố_gắng sắp_xếp đi đủ .",Trung tính,Tích cực
đi học rất ít nên rất mất_công người đi dậy .,Trung tính,Tiêu cực
chô tiếng việt giống như là copy nguyên_văn từ google dịch vậy .,Trung tính,Tiêu cực
cho sinh_viên thực_hành một đề_bài quản_lý thông_tin trên nhiều ngôn_ngữ do sinh_viên tự chọn để sinh_viên thấy được mối liên_quan của môn_học với những môn khác cũng như với thực_tế .,Tiêu cực,Tích cực
"em có học ở một trung_tâm tiếng anh ở ngoài trường , thời_lượng hợp_lý , không nhiều không ít khoảng 2 - 3 tiết một buổi !",Trung tính,Tích cực
