clean_text_PhoBERT,true_sentiment,pred_sentiment,true_topic,pred_topic
hoặc cô có_thể cung_cấp trực_tiếp slide tiếng anh để sinh_viên học .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
bài_tập thầy giảng rất hay .,Tích cực,Tích cực,Chương trình,Giảng viên
hơi khô_khan trong việc giảng_dạy .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
các buổi ngoại_khoá nên được mở .,Tiêu cực,Tiêu cực,Khác,Chương trình
"do trình_độ tiếng anh của lớp không cao chỉ một số_ít có khả_năng nghe , đọc , và hiểu được bài giảng của thấy nên hiệu_quả của việc giảng_dạy bằng tiếng anh là chưa cao .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
sử_dụng quá nhiều tiếng anh để giảng bài trong khi sinh_viên ngồi dưới chẳng hiểu là bao_nhiêu .,Tiêu cực,Tiêu cực,Chương trình,Giảng viên
tâm_lý .,Trung tính,Trung tính,Khác,Giảng viên
chấm điểm hơi khó .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
sửa bài chữ nhỏ quá .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
không đáp_ứng đủ số buổi học .,Tiêu cực,Trung tính,Giảng viên,Chương trình
cách sửa bài_tập còn sơ_sài .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"chưa học kiểm_thử , bắt làm test thì sao mà làm ?",Tiêu cực,Trung tính,Giảng viên,Chương trình
nhưng đi thực_hành mà giảng_viên hoàn_toàn không giảng_dạy hay tiếp_xúc gì với sinh_viên cả thì không giống gì cái lớp_học cho lắm .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
nâng cao chất_lượng giảng_viên và trang_thiết_bị hỗ_trợ .,Tiêu cực,Tiêu cực,Giảng viên,Cơ sở vật chất
cô hoàng toàn không dùng courses hay các phương_tiện liên_lạc thông_báo .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
thầy_cô cần cho thêm bài_tập tài_liệu về nhà cho sinh_viên rèn_luyện cùng với đó là cho thêm nhiều bài nghe bổ_ích tăng khả_năng nghe nói tiếng anh của sinh_viên .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"thiết_nghĩ giảng_viên đứng_lớp lý_thuyết phải có kỹ_năng sư_phạm nhất_định khả_năng truyền_đạt , cách hướng_dẫn sinh_viên , tuy_nhiên tại lớp này giảng_viên không làm được điều đó .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
cho nhiều ví_dụ và chỉ rõ hơn .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"tận_tâm , nghiêm_khắc .",Tích cực,Tích cực,Giảng viên,Khác
nó thật_sự ảnh_hưởng quá nhiều đến chất_lượng học môn này của em .,Tiêu cực,Tiêu cực,Giảng viên,Khác
nếu có hướng_dẫn cũng là lý_thuyết suông khó áp_dụng .,Tiêu cực,Trung tính,Chương trình,Khác
thời_gian học .,Trung tính,Tiêu cực,Chương trình,Chương trình
em mong là có phần khảo_sát môn_học ở giữa kỳ chứ cuối kỳ thì môn_học đã qua đi rồi .,Tiêu cực,Tiêu cực,Khác,Chương trình
giúp_đỡ học_sinh các bài khó .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
tiến_độ dạy hơi nhanh .,Tiêu cực,Tiêu cực,Chương trình,Giảng viên
môn này em không được học với cô wzjwz160 .,Tiêu cực,Trung tính,Khác,Khác
cách diễn_đạt đôi_lúc còn khó hiểu .,Tiêu cực,Tiêu cực,Chương trình,Giảng viên
"hay giải theo cách của mình , chưa giải_thích được nhiều thắc_mắc của sinh_viên .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
giảng còn dài .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
bài_tập thực_hành sát với lý_thuyết .,Tích cực,Trung tính,Chương trình,Chương trình
"không có , giáo_viên dạy rất ổn !",Tích cực,Tiêu cực,Giảng viên,Giảng viên
phải làm bảng đánh_giá kỹ_lưỡng về việc học nhóm ngoài giờ học làm tụi em cảm_thấy không thoải_mái khi học nhóm .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
mong cô luôn giữ được phong_độ đó .,Tích cực,Trung tính,Giảng viên,Khác
"giảng bài sinh_động , có nhiều cuộc thảo_luận trên lớp .",Tích cực,Tích cực,Giảng viên,Chương trình
còn ít đưa ví_dụ và code trực_tiếp để có_thể hiểu tại lớp .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cảm_ơn thầy giúp cho em hiểu rõ hơn về công_việc của một tester .,Tích cực,Trung tính,Giảng viên,Giảng viên
"tôi không đồng_ý với cách giảng_dạy của giáo_viên , một bài mà giảng lúc tiếng anh , lúc tiếng việt khoe khả_năng của mình và tôi nhận thấy kiến_thức trong bài giảng đó tôi không_thể nắm_bắt được trên 50 % .",Tiêu cực,Trung tính,Giảng viên,Chương trình
không nên để thầy này tiếp_tục dạy mạng máy_tính nữa .,Tiêu cực,Tiêu cực,Giảng viên,Cơ sở vật chất
"kiến_thức dồi_dào , thường_xuyên cập_nhật thông_tin cho sinh_viên .",Tích cực,Tích cực,Giảng viên,Chương trình
môn wzjwz19 khá xa_lạ đối_với em .,Tiêu cực,Tiêu cực,Chương trình,Khác
tiếng anh tốt .,Tích cực,Tích cực,Giảng viên,Khác
kỹ những chương cuối .,Trung tính,Tích cực,Khác,Khác
kéo_dài thời_gian của buổi học 30 - 45 phút nhưng không làm buổi học thêm hiệu_quả .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
đặt nhiều câu hỏi trong lúc dạy .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
có giờ tiếp sinh_viên .,Tích cực,Trung tính,Giảng viên,Khác
"giảng_viên không nên cho các nhóm tổ_chức seminar để tìm_hiểu vấn_đề mới liên_tục hàng tuần , làm_vậy nảy_sinh nhiều vấn_đề doubledot thứ nhất là kiến_thức sinh_viên thu_thập đa_phần đều giống nhau , lấy từ một nguồn và làm qua_loa đối_phó .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"tất_cả đều mới_mẻ nhưng phải làm trong một thời_gian ngắn vào cuối kỳ , trong khi đó sinh_viên còn phải học rất nhiều thứ khác .",Tiêu cực,Tiêu cực,Chương trình,Khác
thái_độ làm_việc tốt .,Tích cực,Tích cực,Giảng viên,Khác
ít demo .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"có hướng_dẫn thêm kiến_thức bên ngoài , các phương_pháp lập_trình hiệu_quả .",Tích cực,Tích cực,Giảng viên,Chương trình
làm các bài_tập và mạch điện đơn_giản như_thế sẽ hứng_thú hơn !,Tiêu cực,Trung tính,Chương trình,Chương trình
"cho bọn em tự nghiên_cứu các phần và tự lên thuyết_trình về bài giảng đó , điều đó thật_sự rất bổ_ích cho bọn em .",Tích cực,Trung tính,Giảng viên,Khác
cách giảng_viên khuyên_bảo thẳng_thắn .,Tích cực,Trung tính,Giảng viên,Giảng viên
"em nghĩ thầy nên cho nhiều bài kiểm_tra hơn , có_thể sau hoặc giữa mỗi chương , như_vậy giám_sát được rõ tình_hình học_tập của sinh_viên .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"giảng bài kỹ , có cho sinh_viên làm thuyết_trình để tự nghiên_cứu bài trước khi đến lớp .",Tích cực,Trung tính,Giảng viên,Giảng viên
"thi cuối kỳ đến và chúng_em chưa học được hết môn mạng , không có buổi ôn_tập , không có đề_cương .",Tiêu cực,Trung tính,Chương trình,Chương trình
cả cuộc_sống sau_này lẫn trong môn_học .,Trung tính,Tích cực,Khác,Khác
"cô cho tài_liệu học_tập là một trang_web , lên đó tự học và làm đồ_án .",Tiêu cực,Trung tính,Giảng viên,Chương trình
"không nên nói doubledot "" slide này không phải của tui , nên tui cũng không biết nó nói cái gì "" gây khó_chịu cho sinh_viên khi học .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
giờ học khá nhàm_chán .,Tiêu cực,Tiêu cực,Giảng viên,Khác
"đã vậy còn không tôn_trọng sinh_viên bằng việc cắt ngang buổi seminar của sinh_viên với lý_do "" em nói nhiều quá , thôi lướt qua phần này đi "" .",Tiêu cực,Tiêu cực,Giảng viên,Khác
học được nhiều kỹ_năng .,Tích cực,Tích cực,Giảng viên,Chương trình
"học thầy từ đầu học_kỳ một đến tận hết học_kỳ , quả là không sai .",Tích cực,Trung tính,Giảng viên,Khác
"thầy nhiệt_tình , học 2 tiết cho làm bài_tập 1 tiết phần vừa học .",Tích cực,Tích cực,Giảng viên,Chương trình
"đề_nghị giáo_viên dạy đúng giáo_trình môn_học do nhà_trường đưa ra , phần thi giữa kỳ thầy không dạy heapsort nhưng thi lại ra câu này 4 điểm .",Tiêu cực,Trung tính,Giảng viên,Chương trình
em hoàn_toàn không hài_lòng về cách giảng_dạy của thầy_cả .,Tiêu cực,Trung tính,Giảng viên,Khác
nên đưa ra một_số bài_tập và giải mẫu .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cám_ơn thầy fraction cô rất nhiều .,Tích cực,Tích cực,Giảng viên,Khác
cách dạy của thầy nâng cao được khả_năng nghe tiếng anh .,Tích cực,Trung tính,Giảng viên,Giảng viên
ngoại_trừ khi thi thì có một_số phần không được nói nhưng sao thi lại ra câu đó .,Tiêu cực,Trung tính,Chương trình,Khác
"đồ_án cuối kỳ thì chấm chéo về "" source code "" giữa các nhóm trong khi tên môn_học là "" quản_lý dự_án công_nghệ_thông_tin "" .",Tiêu cực,Trung tính,Chương trình,Chương trình
chương_trình học thú_vị .,Tích cực,Tích cực,Giảng viên,Chương trình
đáp áp cụ_thể cho bài_tập cũng không có .,Tiêu cực,Trung tính,Chương trình,Chương trình
thầy truyền_đạt quá hay .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
"thầy nghiêm_túc , cách làm_việc và yêu_cầu đúng bản_chất của môn_học .",Tích cực,Trung tính,Giảng viên,Giảng viên
thuyết_trình thường_xuyên .,Tiêu cực,Trung tính,Chương trình,Khác
"thời_gian hợp_lý , thái_độ thoải_mái .",Tích cực,Tích cực,Chương trình,Khác
giảng_viên nên cho bài_tập ít lại vì số_lượng bài quá nhiều sinh_viên không làm hết được vì còn những môn_học khác .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cô còn cho một thời_gian để gặp học_sinh .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
làm bài giảng sinh_động .,Tiêu cực,Tích cực,Giảng viên,Chương trình
đã có làm đơn với phòng đào_tạo .,Trung tính,Tiêu cực,Khác,Chương trình
tiến_trình dạy chậm !,Tiêu cực,Trung tính,Giảng viên,Giảng viên
có những chuyến tham_quan bổ_ích và thực_tiễn .,Tích cực,Tích cực,Giảng viên,Chương trình
trên lớp cho ít ví_dụ mở_rộng nên chưa hiểu sâu .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
nên có hướng_dẫn trước mỗi bài_tập thực_hành .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"nhiệt_tình , có trách_nhiệm .",Tích cực,Tích cực,Giảng viên,Khác
không điểm_danh .,Trung tính,Trung tính,Giảng viên,Khác
bài giảng bằng tiếng anh giúp sinh_viên tiếp_cận ngoại_ngữ tốt hơn .,Tiêu cực,Tích cực,Chương trình,Giảng viên
có cung_cấp tài_liệu cho sinh_viên .,Trung tính,Tích cực,Giảng viên,Chương trình
"cô dạy lý_thuyết sát , chặt_chẽ chương_trình học cũng như ôn_tập .",Tích cực,Trung tính,Giảng viên,Giảng viên
"giảng_viên chưa quản được lớp và chấm điểm "" có_vẻ "" theo cảm_tính .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
giảng_viên đến lớp rất đúng giờ ( sớm hơn cả giờ bắt_đầu ) .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
giảng_dạy nghiêm_túc .,Tích cực,Trung tính,Giảng viên,Giảng viên
cần điều_chỉnh số_lượng sinh_viên hợp_lý trong lớp_học bởi trong lớp khá đông .,Tiêu cực,Tiêu cực,Chương trình,Khác
đi muộn .,Tiêu cực,Tiêu cực,Giảng viên,Khác
cần up nhiều tài_liệu hơn lên course .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cám_ơn cô đã dạy lớp em .,Tích cực,Trung tính,Khác,Khác
ngoài_ra còn nhiều kiến_thức ngoài .,Trung tính,Tích cực,Chương trình,Chương trình
sự kiên_trì của giảng_viên với lớp dù sinh_viên có_mặt khá ít .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
giảng_dạy lý_thuyết tốt .,Tích cực,Tích cực,Giảng viên,Chương trình
"cô cho làm bài_tập để thực_tiễn lý_thuyết rất nhiều và phù hơp , khiến chúng_em hiểu ngay được nội_dung của môn_học .",Tích cực,Tích cực,Giảng viên,Chương trình
có demo trực_tiếp .,Trung tính,Tích cực,Giảng viên,Chương trình
cụ_thể doubledot về việc hướng_dẫn bài_tập về nội_dung đó .,Trung tính,Tiêu cực,Giảng viên,Chương trình
"giảng_viên cho bài_tập hay , khó .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
"em nghĩ thầy dạy hơi chậm so với lớp khác nhưng_mà thầy dạy đảm_bảo chất_lượng , rèn được cho bọn em khả_năng làm_việc nhóm , thuyết_trình , cách trả_lời câu hỏi .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
"giọng nói của thầy truyền_cảm , không gây cảm_giác buồn_ngủ .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
rất có tâm_huyết và thương sinh_viên colonsmile .,Tích cực,Tích cực,Giảng viên,Khác
hơi nhanh nhưng em vẫn theo kịp được .,Trung tính,Tiêu cực,Giảng viên,Khác
"mang tính chê_trách sinh_viên về chuyên_môn , làm cho tâm_lý sinh_viên đi xuống , không có hứng_thú trong học_tập .",Tiêu cực,Tích cực,Giảng viên,Chương trình
cô rất xinh .,Tích cực,Tích cực,Giảng viên,Khác
"đề cuối kỳ ra khá dở , trong khi java có nhiều cái hay thì không ra .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"hướng_dẫn chi_tiết , rõ_ràng .",Tích cực,Tích cực,Giảng viên,Khác
còn nhiều thiếu_sót nhỏ .,Tiêu cực,Tiêu cực,Giảng viên,Khác
"lớp thực_hành hầu_như không làm gì cả , mặc_dù lúc đầu cô thực_hành có dạy nhưng rất ít so với việc áp_dụng vào thực_hiện đồ_án , càng về sau hầu_như không dạy thêm được chút gì .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
cảm_thấy cô rất nhiệt_tình làm_việc theo nhóm hiệu_quả .,Tích cực,Tích cực,Giảng viên,Khác
"nghỉ nhiều buổi thực_hành , mất nhiều kiến_thức quan_trọng của oop không phổ_biến và hướng_dẫn cụ_thể nội_dung và phương_pháp thực_hành không nhiệt_tình .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
đảm_bảo đúng giờ học .,Tích cực,Trung tính,Giảng viên,Giảng viên
"chấm bài theo hệ_thống hay báo lỗi , không được sáng_tạo theo lối nghĩ riêng .",Tiêu cực,Trung tính,Chương trình,Chương trình
em nghĩ như_vậy sẽ tốt hơn vì họ sẽ biết được khả_năng của sinh_viên trong lớp tới đâu để cho bài thực_hành được phù_hợp với trình_độ của sinh_viên .,Trung tính,Tiêu cực,Chương trình,Chương trình
bài_tập phong_phú .,Tích cực,Trung tính,Chương trình,Chương trình
dạy_học theo chương_trình .,Trung tính,Trung tính,Giảng viên,Chương trình
dạy kết_hợp với các hoạt_động liên_quan đến bài_học để sinh_viên dễ_dàng nắm và nhớ kiến_thức hơn .,Tiêu cực,Tích cực,Giảng viên,Giảng viên
"thầy còn hướng_dẫn các kỹ_năng thuyết_trình , học tiếng anh chuyên_ngành , làm báo_cáo , slide .",Tích cực,Tiêu cực,Giảng viên,Chương trình
"thầy đăng thông_báo trên facebook cá_nhân , cách thầy nói_chuyện dễ gây hiểu nhầm .",Tiêu cực,Tích cực,Giảng viên,Giảng viên
"đảm_bảo thời_gian học đầy_đủ , đảm_bảo học hết trong giáo_trình .",Tích cực,Trung tính,Giảng viên,Chương trình
thân_thiện và dễ tiếp_thu hơn .,Tiêu cực,Tích cực,Giảng viên,Giảng viên
giáo_viên giảng_dạy tận_tình và cho làm nhiều bài_tập tại lớp .,Tích cực,Trung tính,Giảng viên,Giảng viên
giảng bài rất dễ hiểu bài .,Tích cực,Tích cực,Giảng viên,Chương trình
phương_pháp dạy_học .,Trung tính,Tích cực,Giảng viên,Giảng viên
tăng thời_gian nghe tiếng anh .,Tiêu cực,Trung tính,Chương trình,Chương trình
nửa học_kỳ không có giáo_viên hướng_dẫn thực_hành .,Tiêu cực,Trung tính,Giảng viên,Chương trình
vì_thế không_thể tốt toàn_vẹn được .,Tiêu cực,Tích cực,Khác,Khác
để sinh_viên thực_hành nhiều hơn .,Tiêu cực,Tiêu cực,Cơ sở vật chất,Chương trình
khi chia nhóm em không học bên nhóm của thầy này và thầy cũng rất ít lên_lớp nên em không có ý_kiến gì .,Trung tính,Tiêu cực,Giảng viên,Giảng viên
"lên_lớp thầy không có hướng_dẫn , giải_thích một_vài thứ mình sẽ làm ( các môn khác thì có hướng_dẫn sơ_lược ) .",Tiêu cực,Trung tính,Giảng viên,Giảng viên
"giảng_viên trẻ , nhiệt_huyết nhưng thiếu kinh_nghiệm , khuyến_khích sinh_viên thực_hành trên hackerrankdotcom .",Tích cực,Tiêu cực,Giảng viên,Giảng viên
chưa sâu rõ hoàn_toàn kiến_thức .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
giáo_viên giải bài_tập cần giải_thích kỹ hơn lý_do vì sao đáp_án đó đúng hoặc vì sao sai để sinh_viên biết nên sửa_chữa chỗ nào cho hợp_lý và biết mình sai ở đâu .,Tiêu cực,Tiêu cực,Giảng viên,Khác
"dạy hầu_như bằng tiếng việt , nó giống như 1 lớp_học ngữ_pháp ở cấp 3 mà tôi chẳng mấy ứng_dụng và chẳng có hứng_thú khi học tiếng anh ở trường 1 kiểu mà chỉ coi_trọng điểm_số .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
dứt_khoát .,Tích cực,Trung tính,Khác,Khác
trời nóng .,Tiêu cực,Tiêu cực,Khác,Cơ sở vật chất
tiết học lúc_nào cũng sôi_nổi .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
hướng_dẫn rõ_ràng cách thực_hiện .,Tích cực,Trung tính,Giảng viên,Giảng viên
dạy được .,Tích cực,Trung tính,Giảng viên,Giảng viên
"thầy có nhiều kinh_nghiệm , hỗ_trợ sinh_viên cho việc thực_hành các bài_tập trên lớp .",Tích cực,Tích cực,Giảng viên,Chương trình
cần hướng_dẫn bài_tập cho sinh_viên một_cách chi_tiết hơn_nữa .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
"không_khí lớp_học không được sôi_động , năng_nổ .",Tiêu cực,Tiêu cực,Chương trình,Khác
cực dễ hiểu bài luôn .,Tích cực,Tích cực,Giảng viên,Khác
dạy full english .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
tính thực_tiễn của môn_học .,Trung tính,Tích cực,Chương trình,Chương trình
cô giảng bài rất là hay và không nhàm_chán .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
cô lên_lớp đầy_đủ và dạy theo đúng chương_trình .,Tích cực,Trung tính,Giảng viên,Giảng viên
kết_thúc tiết học quá trễ .,Tiêu cực,Tiêu cực,Giảng viên,Chương trình
sáng_tạo trong giảng_dạy .,Tích cực,Tích cực,Khác,Giảng viên
nắng vào buổi sáng ở gần cửa_sổ .,Tiêu cực,Tiêu cực,Khác,Chương trình
em mong giờ lên_lớp có những niềm đại_học công_nghiệp việt_trì hơn .,Tiêu cực,Tiêu cực,Khác,Giảng viên
"giảng dễ hiểu , cung_cấp tài_liệu học_tập đầy_đủ .",Tích cực,Tích cực,Giảng viên,Chương trình
"thầy nên quan_tâm mức_độ khó của từng câu và phân_bổ thời_gian hợp_lý , hơn là cho một cái đề thi mức_độ xử_lý như nhau nhưng rải_rác quá nhiều , khiến chúng_em thi trên giấy vô_cùng khó_khăn .",Tiêu cực,Tiêu cực,Giảng viên,Chương trình
chấm báo_cáo hơi khắt_khe .,Tiêu cực,Trung tính,Giảng viên,Giảng viên
"học xong môn này , em không có thêm một_chút kiến_thức nào về môn điện_tử cũng như cách vận_dụng những gì đã học vào thực_tế .",Tiêu cực,Trung tính,Giảng viên,Chương trình
"nắm được tất_cả tên các thành_viên trong lớp , thường_xuyên quan_tâm tới sinh_viên .",Tích cực,Tích cực,Giảng viên,Khác
cho_phép sinh_viên chuẩn_bị bài trước tiết_kiệm thời_gian làm thực_hành .,Tích cực,Trung tính,Chương trình,Chương trình
đây là môn có thực_hành nhưng tới khi kết_thúc vẫn không thấy thực_hành đâu cả .,Tiêu cực,Trung tính,Giảng viên,Chương trình
em thấy thầy giảng hơi bị buồn_ngủ .,Tích cực,Tiêu cực,Giảng viên,Giảng viên
